date,signal,tickers,count
2024-12-27 12:45:00+05:30,SELL,"['GMTUSDT', 'BCHUSDT']",2
2024-12-27 13:30:00+05:30,BUY,['STGUSDT'],1
2024-12-27 15:15:00+05:30,SELL,['ACXUSDT'],1
2024-12-27 15:45:00+05:30,SELL,"['CTSIUSDT', 'BAKEUSDT', 'ALTUSDT', 'IOUSDT', 'AMBUSDT', 'VICUSDT', 'VTHOUSDT', 'ORDIUSDT', 'PHBUSDT']",9
2024-12-27 16:00:00+05:30,SELL,"['TNSRUSDT', 'PIXELUSDT', 'KDAUSDT']",3
2024-12-27 16:45:00+05:30,BUY,['MEUSDT'],1
2024-12-27 16:45:00+05:30,SELL,"['GMTUSDT', 'STRAXUSDT']",2
2024-12-27 18:15:00+05:30,SELL,"['BLURUSDT', 'JSTUSDT']",2
2024-12-27 18:30:00+05:30,SELL,['WINUSDT'],1
2024-12-27 18:45:00+05:30,SELL,['SUNUSDT'],1
2024-12-27 19:00:00+05:30,SELL,['ATAUSDT'],1
2024-12-27 19:30:00+05:30,SELL,['OMUSDT'],1
2024-12-27 20:00:00+05:30,SELL,['BBUSDT'],1
2024-12-27 21:00:00+05:30,BUY,['DEXEUSDT'],1
2024-12-27 21:15:00+05:30,BUY,['SLFUSDT'],1
2024-12-27 21:30:00+05:30,BUY,['LPTUSDT'],1
2024-12-27 22:00:00+05:30,BUY,"['VIDTUSDT', 'AMBUSDT']",2
2024-12-27 22:15:00+05:30,BUY,['FIOUSDT'],1
2024-12-27 22:45:00+05:30,BUY,"['TKOUSDT', 'WUSDT', 'ICPUSDT']",3
2024-12-27 23:00:00+05:30,BUY,"['ALGOUSDT', 'STRAXUSDT', 'MLNUSDT']",3
2024-12-27 23:30:00+05:30,BUY,['AGLDUSDT'],1
2024-12-28 02:15:00+05:30,BUY,['AMPUSDT'],1
2024-12-28 02:30:00+05:30,BUY,['ALGOUSDT'],1
2024-12-28 02:45:00+05:30,BUY,['FISUSDT'],1
2024-12-28 03:30:00+05:30,SELL,['MOVEUSDT'],1
2024-12-28 03:45:00+05:30,BUY,"['SNTUSDT', 'DOTUSDT', 'SUNUSDT']",3
2024-12-28 04:30:00+05:30,BUY,"['FTTUSDT', 'ACXUSDT']",2
2024-12-28 04:30:00+05:30,SELL,['PHAUSDT'],1
2024-12-28 05:00:00+05:30,BUY,['FORTHUSDT'],1
2024-12-28 05:15:00+05:30,BUY,"['MOVRUSDT', 'GALAUSDT', 'CKBUSDT', 'VELODROMEUSDT', 'DASHUSDT', 'EOSUSDT', 'WAXPUSDT', 'NMRUSDT', 'RSRUSDT', 'JSTUSDT', 'TNSRUSDT', 'FETUSDT', 'TIAUSDT', 'TROYUSDT', 'HIFIUSDT', 'DEGOUSDT', 'MTLUSDT', 'BURGERUSDT', 'TWTUSDT']",19
2024-12-28 05:30:00+05:30,BUY,"['THETAUSDT', 'MANTAUSDT', 'DGBUSDT', 'JOEUSDT']",4
2024-12-28 06:45:00+05:30,BUY,['SLFUSDT'],1
2024-12-28 07:30:00+05:30,BUY,"['LDOUSDT', 'SUIUSDT', 'DYDXUSDT']",3
2024-12-28 09:00:00+05:30,BUY,"['ZROUSDT', 'FXSUSDT', 'WUSDT']",3
2024-12-28 09:30:00+05:30,SELL,['LITUSDT'],1
2024-12-28 10:15:00+05:30,BUY,['AIUSDT'],1
2024-12-28 10:30:00+05:30,BUY,"['ACMUSDT', 'DFUSDT', 'UTKUSDT', 'BOMEUSDT', 'CATIUSDT', 'XTZUSDT', 'DIAUSDT', 'VTHOUSDT', 'AXSUSDT', 'ZILUSDT', 'WOOUSDT', 'SLPUSDT', 'CHRUSDT', 'BALUSDT']",14
2024-12-28 10:45:00+05:30,BUY,['AERGOUSDT'],1
2024-12-28 11:00:00+05:30,SELL,['IDEXUSDT'],1
2024-12-28 11:45:00+05:30,SELL,['LITUSDT'],1
2024-12-28 12:30:00+05:30,BUY,"['CTXCUSDT', 'BBUSDT', 'RSRUSDT']",3
2024-12-28 12:45:00+05:30,BUY,['PAXGUSDT'],1
2024-12-28 13:30:00+05:30,BUY,"['LUMIAUSDT', 'DGBUSDT', 'UTKUSDT']",3
2024-12-28 13:45:00+05:30,BUY,"['BOMEUSDT', 'GUSDT', 'LAZIOUSDT', 'CELOUSDT', 'TIAUSDT', 'FTMUSDT']",6
2024-12-28 14:00:00+05:30,BUY,"['SEIUSDT', 'DASHUSDT', 'DOTUSDT']",3
2024-12-28 14:00:00+05:30,SELL,"['STORJUSDT', 'STEEMUSDT']",2
2024-12-28 14:15:00+05:30,BUY,"['MKRUSDT', 'KMDUSDT', 'SSVUSDT']",3
2024-12-28 14:30:00+05:30,BUY,['DFUSDT'],1
2024-12-28 16:45:00+05:30,BUY,"['CTSIUSDT', 'MANTAUSDT', 'COSUSDT', 'MOVRUSDT', 'GRTUSDT', 'C98USDT', 'PERPUSDT', 'IOTXUSDT', 'SXPUSDT', 'ADAUSDT', 'BANDUSDT', 'QNTUSDT', 'IMXUSDT', 'AEVOUSDT', 'YGGUSDT', 'LEVERUSDT', 'ATOMUSDT', 'BLURUSDT', 'POLUSDT', 'TLMUSDT', 'BSWUSDT', 'AXSUSDT', 'ZILUSDT', 'OSMOUSDT', 'BEAMXUSDT', 'DODOUSDT', 'NULSUSDT', 'SKLUSDT', 'STRKUSDT', 'KAIAUSDT', 'DYDXUSDT', 'BOMEUSDT', 'BNXUSDT', 'EGLDUSDT', 'GNOUSDT', 'STGUSDT', 'TIAUSDT', 'WOOUSDT', 'FIOUSDT', 'ICPUSDT', 'NKNUSDT', 'HFTUSDT', 'AERGOUSDT', 'LUNAUSDT', 'COMBOUSDT', 'BAKEUSDT', 'MASKUSDT', 'LUNCUSDT', 'GUSDT', 'XLMUSDT', 'HMSTRUSDT', 'RONINUSDT', 'TKOUSDT', 'LTCUSDT', 'PIXELUSDT']",55
2024-12-28 16:45:00+05:30,SELL,['REQUSDT'],1
2024-12-28 17:00:00+05:30,BUY,"['IOUSDT', 'TURBOUSDT', 'DOGSUSDT']",3
2024-12-28 17:15:00+05:30,BUY,['PHBUSDT'],1
2024-12-28 17:45:00+05:30,SELL,['PUNDIXUSDT'],1
2024-12-28 18:45:00+05:30,BUY,"['DFUSDT', 'HBARUSDT', 'IDUSDT']",3
2024-12-28 19:30:00+05:30,BUY,['THEUSDT'],1
2024-12-28 19:45:00+05:30,BUY,['STRAXUSDT'],1
2024-12-28 19:45:00+05:30,SELL,['LITUSDT'],1
2024-12-28 20:00:00+05:30,SELL,"['SCRTUSDT', 'STMXUSDT', 'MOVRUSDT', 'TFUELUSDT', 'OGUSDT', 'APTUSDT']",6
2024-12-28 20:15:00+05:30,SELL,"['FIDAUSDT', 'BAKEUSDT', 'AMBUSDT', 'HOTUSDT', 'PERPUSDT', 'CHESSUSDT']",6
2024-12-28 20:45:00+05:30,SELL,['LEVERUSDT'],1
2024-12-28 21:00:00+05:30,SELL,['ALPACAUSDT'],1
2024-12-28 21:15:00+05:30,SELL,"['SYNUSDT', 'PROMUSDT', 'ARKMUSDT', 'IOTAUSDT']",4
2024-12-28 22:00:00+05:30,BUY,['TRXUSDT'],1
2024-12-28 22:15:00+05:30,BUY,['FTMUSDT'],1
2024-12-28 23:15:00+05:30,SELL,['IQUSDT'],1
2024-12-28 23:30:00+05:30,SELL,"['ALPHAUSDT', 'LUNAUSDT', 'HIFIUSDT', 'WOOUSDT', 'FLOKIUSDT', 'ONGUSDT', 'BURGERUSDT']",7
2024-12-28 23:45:00+05:30,SELL,['SHIBUSDT'],1
2024-12-29 00:00:00+05:30,SELL,"['MANTAUSDT', 'TURBOUSDT', 'TNSRUSDT', 'NMRUSDT', 'HBARUSDT', 'AVAXUSDT', 'BNSOLUSDT', 'ACHUSDT', 'PROMUSDT', 'PEPEUSDT', 'DENTUSDT', 'ONEUSDT', 'SSVUSDT', 'IOSTUSDT']",14
2024-12-29 00:30:00+05:30,BUY,"['KMDUSDT', 'VELODROMEUSDT']",2
2024-12-29 00:30:00+05:30,SELL,['JTOUSDT'],1
2024-12-29 01:15:00+05:30,SELL,['MOVRUSDT'],1
2024-12-29 02:30:00+05:30,BUY,['OGNUSDT'],1
2024-12-29 02:45:00+05:30,BUY,['ARDRUSDT'],1
2024-12-29 03:00:00+05:30,BUY,"['DIAUSDT', 'SANTOSUSDT']",2
2024-12-29 03:30:00+05:30,SELL,['XVGUSDT'],1
2024-12-29 04:00:00+05:30,SELL,"['ENAUSDT', 'LPTUSDT']",2
2024-12-29 04:45:00+05:30,SELL,"['SEIUSDT', 'DOTUSDT', 'JASMYUSDT', 'LDOUSDT']",4
2024-12-29 05:00:00+05:30,SELL,"['EGLDUSDT', 'QNTUSDT', 'PYTHUSDT']",3
2024-12-29 05:15:00+05:30,SELL,['RSRUSDT'],1
2024-12-29 05:30:00+05:30,SELL,"['DCRUSDT', 'SCRUSDT']",2
2024-12-29 06:15:00+05:30,BUY,['IDEXUSDT'],1
2024-12-29 06:30:00+05:30,SELL,"['QKCUSDT', 'DARUSDT']",2
2024-12-29 06:45:00+05:30,BUY,['REQUSDT'],1
2024-12-29 06:45:00+05:30,SELL,['FIOUSDT'],1
2024-12-29 07:00:00+05:30,BUY,['MOVEUSDT'],1
2024-12-29 07:30:00+05:30,BUY,['MDTUSDT'],1
2024-12-29 07:45:00+05:30,BUY,"['MKRUSDT', 'RUNEUSDT', 'SHIBUSDT']",3
2024-12-29 08:00:00+05:30,BUY,"['UNIUSDT', 'FIDAUSDT', 'DOGSUSDT', 'ZROUSDT', 'PORTOUSDT', 'PERPUSDT', 'C98USDT', 'CHRUSDT', 'SPELLUSDT', 'XAIUSDT', 'ZKUSDT', 'OMNIUSDT', 'SAGAUSDT', 'LAZIOUSDT', 'JUVUSDT', 'TNSRUSDT', 'WANUSDT', 'SNXUSDT', 'REZUSDT', 'RDNTUSDT', 'HFTUSDT', 'COMBOUSDT', 'BAKEUSDT', 'MAGICUSDT', 'IOUSDT', 'TWTUSDT', 'BALUSDT']",27
2024-12-29 09:00:00+05:30,SELL,['PHAUSDT'],1
2024-12-29 10:45:00+05:30,BUY,['CVXUSDT'],1
2024-12-29 10:45:00+05:30,SELL,['THEUSDT'],1
2024-12-29 11:15:00+05:30,BUY,['LISTAUSDT'],1
2024-12-29 11:45:00+05:30,BUY,"['FISUSDT', 'OMNIUSDT', 'GNSUSDT', 'HOOKUSDT']",4
2024-12-29 12:00:00+05:30,BUY,"['EDUUSDT', 'ASTRUSDT', 'FUNUSDT', 'XECUSDT', 'COMPUSDT', 'CAKEUSDT', 'YGGUSDT', 'EIGENUSDT', 'CATIUSDT', 'RVNUSDT', 'UMAUSDT', 'BALUSDT', 'JASMYUSDT', '1INCHUSDT']",14
2024-12-29 12:15:00+05:30,BUY,"['AIUSDT', 'HBARUSDT', 'FXSUSDT', 'PROMUSDT', 'C98USDT']",5
2024-12-29 14:45:00+05:30,BUY,['AAVEUSDT'],1
2024-12-29 15:00:00+05:30,BUY,"['APTUSDT', 'DATAUSDT', 'REQUSDT', 'VIDTUSDT', 'QTUMUSDT', 'MDTUSDT', 'RAREUSDT']",7
2024-12-29 15:15:00+05:30,BUY,"['KAIAUSDT', 'SNTUSDT', 'MOVRUSDT', 'CLVUSDT', 'ZILUSDT', 'LRCUSDT', 'BANDUSDT']",7
