date,signal,tickers,count
2024-12-27 12:45:00+05:30,SELL,"['BCHUSDT', 'GMTUSDT']",2
2024-12-27 13:30:00+05:30,BUY,['STGUSDT'],1
2024-12-27 15:15:00+05:30,SELL,['ACXUSDT'],1
2024-12-27 15:45:00+05:30,SELL,"['IOUSDT', 'PHBUSDT', 'VTHOUSDT', 'ORDIUSDT', 'ALTUSDT', 'CTSIUSDT', 'BAKEUSDT', 'VICUSDT', 'AMBUSDT']",9
2024-12-27 16:00:00+05:30,SELL,"['KDAUSDT', 'PIXELUSDT', 'TNSRUSDT']",3
2024-12-27 16:45:00+05:30,BUY,['MEUSDT'],1
2024-12-27 16:45:00+05:30,SELL,"['STRAXUSDT', 'GMTUSDT']",2
2024-12-27 18:15:00+05:30,SELL,"['BLURUSDT', 'JSTUSDT']",2
2024-12-27 18:30:00+05:30,SELL,['WINUSDT'],1
2024-12-27 18:45:00+05:30,SELL,['SUNUSDT'],1
2024-12-27 19:00:00+05:30,SELL,['ATAUSDT'],1
2024-12-27 19:30:00+05:30,SELL,['OMUSDT'],1
2024-12-27 20:00:00+05:30,SELL,['BBUSDT'],1
2024-12-27 21:00:00+05:30,BUY,['DEXEUSDT'],1
2024-12-27 21:15:00+05:30,BUY,['SLFUSDT'],1
2024-12-27 21:30:00+05:30,BUY,['LPTUSDT'],1
2024-12-27 22:00:00+05:30,BUY,"['VIDTUSDT', 'AMBUSDT']",2
2024-12-27 22:15:00+05:30,BUY,['FIOUSDT'],1
2024-12-27 22:45:00+05:30,BUY,"['WUSDT', 'TKOUSDT', 'ICPUSDT']",3
2024-12-27 23:00:00+05:30,BUY,"['STRAXUSDT', 'MLNUSDT', 'ALGOUSDT']",3
2024-12-27 23:30:00+05:30,BUY,['AGLDUSDT'],1
2024-12-28 02:15:00+05:30,BUY,['AMPUSDT'],1
2024-12-28 02:30:00+05:30,BUY,['ALGOUSDT'],1
2024-12-28 02:45:00+05:30,BUY,['FISUSDT'],1
2024-12-28 03:30:00+05:30,SELL,['MOVEUSDT'],1
2024-12-28 03:45:00+05:30,BUY,"['SNTUSDT', 'DOTUSDT', 'SUNUSDT']",3
2024-12-28 04:30:00+05:30,BUY,"['FTTUSDT', 'ACXUSDT']",2
2024-12-28 04:30:00+05:30,SELL,['PHAUSDT'],1
2024-12-28 05:00:00+05:30,BUY,['FORTHUSDT'],1
2024-12-28 05:15:00+05:30,BUY,"['DASHUSDT', 'WAXPUSDT', 'BURGERUSDT', 'VELODROMEUSDT', 'MTLUSDT', 'NMRUSDT', 'HIFIUSDT', 'FETUSDT', 'GALAUSDT', 'TROYUSDT', 'JSTUSDT', 'TNSRUSDT', 'EOSUSDT', 'DEGOUSDT', 'CKBUSDT', 'TIAUSDT', 'RSRUSDT', 'TWTUSDT', 'MOVRUSDT']",19
2024-12-28 05:30:00+05:30,BUY,"['MANTAUSDT', 'JOEUSDT', 'THETAUSDT', 'DGBUSDT']",4
2024-12-28 06:45:00+05:30,BUY,['SLFUSDT'],1
2024-12-28 07:30:00+05:30,BUY,"['LDOUSDT', 'SUIUSDT', 'DYDXUSDT']",3
2024-12-28 09:00:00+05:30,BUY,"['WUSDT', 'FXSUSDT', 'ZROUSDT']",3
2024-12-28 09:30:00+05:30,SELL,['LITUSDT'],1
2024-12-28 10:15:00+05:30,BUY,['AIUSDT'],1
2024-12-28 10:30:00+05:30,BUY,"['BALUSDT', 'WOOUSDT', 'CHRUSDT', 'BOMEUSDT', 'UTKUSDT', 'ACMUSDT', 'SLPUSDT', 'XTZUSDT', 'VTHOUSDT', 'DFUSDT', 'DIAUSDT', 'AXSUSDT', 'ZILUSDT', 'CATIUSDT']",14
2024-12-28 10:45:00+05:30,BUY,['AERGOUSDT'],1
2024-12-28 11:00:00+05:30,SELL,['IDEXUSDT'],1
2024-12-28 11:45:00+05:30,SELL,['LITUSDT'],1
2024-12-28 12:30:00+05:30,BUY,"['BBUSDT', 'RSRUSDT', 'CTXCUSDT']",3
2024-12-28 12:45:00+05:30,BUY,['PAXGUSDT'],1
2024-12-28 13:30:00+05:30,BUY,"['UTKUSDT', 'LUMIAUSDT', 'DGBUSDT']",3
2024-12-28 13:45:00+05:30,BUY,"['FTMUSDT', 'LAZIOUSDT', 'CELOUSDT', 'TIAUSDT', 'GUSDT', 'BOMEUSDT']",6
2024-12-28 14:00:00+05:30,BUY,"['DASHUSDT', 'SEIUSDT', 'DOTUSDT']",3
2024-12-28 14:00:00+05:30,SELL,"['STORJUSDT', 'STEEMUSDT']",2
2024-12-28 14:15:00+05:30,BUY,"['KMDUSDT', 'SSVUSDT', 'MKRUSDT']",3
2024-12-28 14:30:00+05:30,BUY,['DFUSDT'],1
2024-12-28 16:45:00+05:30,BUY,"['STRKUSDT', 'YGGUSDT', 'BEAMXUSDT', 'SXPUSDT', 'HFTUSDT', 'OSMOUSDT', 'AXSUSDT', 'NKNUSDT', 'TKOUSDT', 'SKLUSDT', 'BLURUSDT', 'ATOMUSDT', 'BNXUSDT', 'BSWUSDT', 'ICPUSDT', 'CTSIUSDT', 'MASKUSDT', 'XLMUSDT', 'AEVOUSDT', 'IMXUSDT', 'POLUSDT', 'AERGOUSDT', 'NULSUSDT', 'PERPUSDT', 'C98USDT', 'LTCUSDT', 'DODOUSDT', 'WOOUSDT', 'MANTAUSDT', 'COMBOUSDT', 'DYDXUSDT', 'GUSDT', 'RONINUSDT', 'TLMUSDT', 'BANDUSDT', 'LEVERUSDT', 'EGLDUSDT', 'LUNCUSDT', 'BOMEUSDT', 'IOTXUSDT', 'HMSTRUSDT', 'COSUSDT', 'QNTUSDT', 'ADAUSDT', 'ZILUSDT', 'STGUSDT', 'LUNAUSDT', 'TIAUSDT', 'PIXELUSDT', 'FIOUSDT', 'GNOUSDT', 'KAIAUSDT', 'BAKEUSDT', 'GRTUSDT', 'MOVRUSDT']",55
2024-12-28 16:45:00+05:30,SELL,['REQUSDT'],1
2024-12-28 17:00:00+05:30,BUY,"['DOGSUSDT', 'IOUSDT', 'TURBOUSDT']",3
2024-12-28 17:15:00+05:30,BUY,['PHBUSDT'],1
2024-12-28 17:45:00+05:30,SELL,['PUNDIXUSDT'],1
2024-12-28 18:45:00+05:30,BUY,"['HBARUSDT', 'DFUSDT', 'IDUSDT']",3
2024-12-28 19:30:00+05:30,BUY,['THEUSDT'],1
2024-12-28 19:45:00+05:30,BUY,['STRAXUSDT'],1
2024-12-28 19:45:00+05:30,SELL,['LITUSDT'],1
2024-12-28 20:00:00+05:30,SELL,"['TFUELUSDT', 'OGUSDT', 'STMXUSDT', 'SCRTUSDT', 'APTUSDT', 'MOVRUSDT']",6
2024-12-28 20:15:00+05:30,SELL,"['CHESSUSDT', 'FIDAUSDT', 'HOTUSDT', 'BAKEUSDT', 'AMBUSDT', 'PERPUSDT']",6
2024-12-28 20:45:00+05:30,SELL,['LEVERUSDT'],1
2024-12-28 21:00:00+05:30,SELL,['ALPACAUSDT'],1
2024-12-28 21:15:00+05:30,SELL,"['SYNUSDT', 'PROMUSDT', 'IOTAUSDT', 'ARKMUSDT']",4
2024-12-28 22:00:00+05:30,BUY,['TRXUSDT'],1
2024-12-28 22:15:00+05:30,BUY,['FTMUSDT'],1
2024-12-28 23:15:00+05:30,SELL,['IQUSDT'],1
2024-12-28 23:30:00+05:30,SELL,"['WOOUSDT', 'FLOKIUSDT', 'LUNAUSDT', 'ALPHAUSDT', 'BURGERUSDT', 'ONGUSDT', 'HIFIUSDT']",7
2024-12-28 23:45:00+05:30,SELL,['SHIBUSDT'],1
2024-12-29 00:00:00+05:30,SELL,"['MANTAUSDT', 'IOSTUSDT', 'PEPEUSDT', 'TURBOUSDT', 'DENTUSDT', 'AVAXUSDT', 'SSVUSDT', 'ACHUSDT', 'NMRUSDT', 'BNSOLUSDT', 'HBARUSDT', 'ONEUSDT', 'PROMUSDT', 'TNSRUSDT']",14
2024-12-29 00:30:00+05:30,BUY,"['KMDUSDT', 'VELODROMEUSDT']",2
2024-12-29 00:30:00+05:30,SELL,['JTOUSDT'],1
2024-12-29 01:15:00+05:30,SELL,['MOVRUSDT'],1
2024-12-29 02:30:00+05:30,BUY,['OGNUSDT'],1
2024-12-29 02:45:00+05:30,BUY,['ARDRUSDT'],1
2024-12-29 03:00:00+05:30,BUY,"['DIAUSDT', 'SANTOSUSDT']",2
2024-12-29 03:30:00+05:30,SELL,['XVGUSDT'],1
2024-12-29 04:00:00+05:30,SELL,"['LPTUSDT', 'ENAUSDT']",2
2024-12-29 04:45:00+05:30,SELL,"['LDOUSDT', 'SEIUSDT', 'DOTUSDT', 'JASMYUSDT']",4
2024-12-29 05:00:00+05:30,SELL,"['PYTHUSDT', 'QNTUSDT', 'EGLDUSDT']",3
2024-12-29 05:15:00+05:30,SELL,['RSRUSDT'],1
2024-12-29 05:30:00+05:30,SELL,"['SCRUSDT', 'DCRUSDT']",2
2024-12-29 06:15:00+05:30,BUY,['IDEXUSDT'],1
2024-12-29 06:30:00+05:30,SELL,"['DARUSDT', 'QKCUSDT']",2
2024-12-29 06:45:00+05:30,BUY,['REQUSDT'],1
2024-12-29 06:45:00+05:30,SELL,['FIOUSDT'],1
2024-12-29 07:00:00+05:30,BUY,['MOVEUSDT'],1
2024-12-29 07:30:00+05:30,BUY,['MDTUSDT'],1
2024-12-29 07:45:00+05:30,BUY,"['SHIBUSDT', 'RUNEUSDT', 'MKRUSDT']",3
2024-12-29 08:00:00+05:30,BUY,"['SAGAUSDT', 'FIDAUSDT', 'CHRUSDT', 'REZUSDT', 'ZKUSDT', 'PORTOUSDT', 'ZROUSDT', 'HFTUSDT', 'JUVUSDT', 'SNXUSDT', 'BALUSDT', 'MAGICUSDT', 'LAZIOUSDT', 'WANUSDT', 'XAIUSDT', 'OMNIUSDT', 'UNIUSDT', 'PERPUSDT', 'TNSRUSDT', 'DOGSUSDT', 'C98USDT', 'IOUSDT', 'COMBOUSDT', 'RDNTUSDT', 'SPELLUSDT', 'BAKEUSDT', 'TWTUSDT']",27
2024-12-29 09:00:00+05:30,SELL,['PHAUSDT'],1
2024-12-29 10:45:00+05:30,BUY,['CVXUSDT'],1
2024-12-29 10:45:00+05:30,SELL,['THEUSDT'],1
2024-12-29 11:15:00+05:30,BUY,['LISTAUSDT'],1
2024-12-29 11:45:00+05:30,BUY,"['GNSUSDT', 'OMNIUSDT', 'HOOKUSDT', 'FISUSDT']",4
2024-12-29 12:00:00+05:30,BUY,"['BALUSDT', 'UMAUSDT', 'YGGUSDT', 'EDUUSDT', 'COMPUSDT', 'CAKEUSDT', 'EIGENUSDT', 'RVNUSDT', 'JASMYUSDT', 'ASTRUSDT', '1INCHUSDT', 'XECUSDT', 'FUNUSDT', 'CATIUSDT']",14
2024-12-29 12:15:00+05:30,BUY,"['C98USDT', 'FXSUSDT', 'HBARUSDT', 'AIUSDT', 'PROMUSDT']",5
2024-12-29 14:45:00+05:30,BUY,['AAVEUSDT'],1
2024-12-29 15:00:00+05:30,BUY,"['DATAUSDT', 'QTUMUSDT', 'REQUSDT', 'APTUSDT', 'RAREUSDT', 'VIDTUSDT', 'MDTUSDT']",7
2024-12-29 15:15:00+05:30,BUY,"['SNTUSDT', 'LRCUSDT', 'KAIAUSDT', 'BANDUSDT', 'ZILUSDT', 'MOVRUSDT', 'CLVUSDT']",7
2024-12-29 17:30:00+05:30,BUY,"['COWUSDT', 'XVGUSDT', 'NMRUSDT', 'ATAUSDT']",4
2024-12-29 17:45:00+05:30,BUY,['VICUSDT'],1
2024-12-29 18:30:00+05:30,BUY,"['JASMYUSDT', 'QKCUSDT']",2
2024-12-29 18:45:00+05:30,BUY,"['KAIAUSDT', 'CTSIUSDT']",2
2024-12-29 19:00:00+05:30,BUY,['ALPHAUSDT'],1
2024-12-29 19:15:00+05:30,BUY,"['LDOUSDT', 'ENJUSDT', 'POLYXUSDT', 'XTZUSDT', 'LITUSDT', 'SUPERUSDT', 'GUSDT', 'SCUSDT', 'XECUSDT', 'METISUSDT', 'TAOUSDT', 'JSTUSDT', 'AIUSDT']",13
2024-12-29 19:30:00+05:30,BUY,['RAYUSDT'],1
2024-12-29 19:30:00+05:30,SELL,['DFUSDT'],1
2024-12-29 20:45:00+05:30,BUY,"['VIBUSDT', 'ROSEUSDT', 'HIVEUSDT']",3
2024-12-29 21:30:00+05:30,BUY,['AEURUSDT'],1
2024-12-29 22:00:00+05:30,BUY,['DEXEUSDT'],1
2024-12-29 22:30:00+05:30,BUY,['AAVEUSDT'],1
2024-12-29 22:45:00+05:30,BUY,['VIBUSDT'],1
2024-12-29 23:15:00+05:30,BUY,"['BICOUSDT', 'PEOPLEUSDT', 'EOSUSDT', 'PORTALUSDT', 'POWRUSDT', 'RIFUSDT', 'SUNUSDT']",7
2024-12-30 00:00:00+05:30,BUY,"['GRTUSDT', 'JUVUSDT']",2
2024-12-30 00:15:00+05:30,BUY,['ALCXUSDT'],1
2024-12-30 00:30:00+05:30,BUY,"['AUCTIONUSDT', 'HIVEUSDT']",2
2024-12-30 00:45:00+05:30,BUY,"['LUMIAUSDT', 'AUDIOUSDT', 'HFTUSDT', 'NKNUSDT', 'PROMUSDT']",5
2024-12-30 02:15:00+05:30,BUY,"['SXPUSDT', 'NTRNUSDT', 'PORTOUSDT', 'RVNUSDT', 'HBARUSDT', 'SUIUSDT', 'USUALUSDT', 'CHESSUSDT', 'IOTAUSDT', 'THETAUSDT']",10
2024-12-30 05:00:00+05:30,BUY,"['STRAXUSDT', 'TKOUSDT', 'ARUSDT', 'BARUSDT']",4
2024-12-30 05:45:00+05:30,BUY,['PAXGUSDT'],1
2024-12-30 08:15:00+05:30,BUY,['COWUSDT'],1
