date,signal,tickers,count
2024-12-27 12:45:00+05:30,SELL,"['GMTUSDT', 'BCHUSDT']",2
2024-12-27 13:30:00+05:30,BUY,['STGUSDT'],1
2024-12-27 15:15:00+05:30,SELL,['ACXUSDT'],1
2024-12-27 15:45:00+05:30,SELL,"['BAKEUSDT', 'ORDIUSDT', 'PHBUSDT', 'VICUSDT', 'AMBUSDT', 'CTSIUSDT', 'IOUSDT', 'VTHOUSDT', 'ALTUSDT']",9
2024-12-27 16:00:00+05:30,SELL,"['KDAUSDT', 'TNSRUSDT', 'PIXELUSDT']",3
2024-12-27 16:45:00+05:30,BUY,['MEUSDT'],1
2024-12-27 16:45:00+05:30,SELL,"['GMTUSDT', 'STRAXUSDT']",2
2024-12-27 18:15:00+05:30,SELL,"['BLURUSDT', 'JSTUSDT']",2
2024-12-27 18:30:00+05:30,SELL,['WINUSDT'],1
2024-12-27 18:45:00+05:30,SELL,['SUNUSDT'],1
2024-12-27 19:00:00+05:30,SELL,['ATAUSDT'],1
2024-12-27 19:30:00+05:30,SELL,['OMUSDT'],1
2024-12-27 20:00:00+05:30,SELL,['BBUSDT'],1
2024-12-27 21:00:00+05:30,BUY,['DEXEUSDT'],1
2024-12-27 21:15:00+05:30,BUY,['SLFUSDT'],1
2024-12-27 21:30:00+05:30,BUY,['LPTUSDT'],1
2024-12-27 22:00:00+05:30,BUY,"['AMBUSDT', 'VIDTUSDT']",2
2024-12-27 22:15:00+05:30,BUY,['FIOUSDT'],1
2024-12-27 22:45:00+05:30,BUY,"['ICPUSDT', 'WUSDT', 'TKOUSDT']",3
2024-12-27 23:00:00+05:30,BUY,"['STRAXUSDT', 'ALGOUSDT', 'MLNUSDT']",3
2024-12-27 23:30:00+05:30,BUY,['AGLDUSDT'],1
2024-12-28 02:15:00+05:30,BUY,['AMPUSDT'],1
2024-12-28 02:30:00+05:30,BUY,['ALGOUSDT'],1
2024-12-28 02:45:00+05:30,BUY,['FISUSDT'],1
2024-12-28 03:30:00+05:30,SELL,['MOVEUSDT'],1
2024-12-28 03:45:00+05:30,BUY,"['SNTUSDT', 'DOTUSDT', 'SUNUSDT']",3
2024-12-28 04:30:00+05:30,BUY,"['ACXUSDT', 'FTTUSDT']",2
2024-12-28 04:30:00+05:30,SELL,['PHAUSDT'],1
2024-12-28 05:00:00+05:30,BUY,['FORTHUSDT'],1
2024-12-28 05:15:00+05:30,BUY,"['RSRUSDT', 'MTLUSDT', 'MOVRUSDT', 'TNSRUSDT', 'TWTUSDT', 'NMRUSDT', 'TIAUSDT', 'EOSUSDT', 'BURGERUSDT', 'FETUSDT', 'WAXPUSDT', 'JSTUSDT', 'GALAUSDT', 'TROYUSDT', 'CKBUSDT', 'DEGOUSDT', 'VELODROMEUSDT', 'HIFIUSDT', 'DASHUSDT']",19
2024-12-28 05:30:00+05:30,BUY,"['THETAUSDT', 'DGBUSDT', 'MANTAUSDT', 'JOEUSDT']",4
2024-12-28 06:45:00+05:30,BUY,['SLFUSDT'],1
2024-12-28 07:30:00+05:30,BUY,"['DYDXUSDT', 'SUIUSDT', 'LDOUSDT']",3
2024-12-28 09:00:00+05:30,BUY,"['ZROUSDT', 'FXSUSDT', 'WUSDT']",3
2024-12-28 09:30:00+05:30,SELL,['LITUSDT'],1
2024-12-28 10:15:00+05:30,BUY,['AIUSDT'],1
2024-12-28 10:30:00+05:30,BUY,"['ZILUSDT', 'CATIUSDT', 'WOOUSDT', 'XTZUSDT', 'ACMUSDT', 'BOMEUSDT', 'DFUSDT', 'VTHOUSDT', 'BALUSDT', 'SLPUSDT', 'DIAUSDT', 'CHRUSDT', 'UTKUSDT', 'AXSUSDT']",14
2024-12-28 10:45:00+05:30,BUY,['AERGOUSDT'],1
2024-12-28 11:00:00+05:30,SELL,['IDEXUSDT'],1
2024-12-28 11:45:00+05:30,SELL,['LITUSDT'],1
2024-12-28 12:30:00+05:30,BUY,"['CTXCUSDT', 'BBUSDT', 'RSRUSDT']",3
2024-12-28 12:45:00+05:30,BUY,['PAXGUSDT'],1
2024-12-28 13:30:00+05:30,BUY,"['DGBUSDT', 'LUMIAUSDT', 'UTKUSDT']",3
2024-12-28 13:45:00+05:30,BUY,"['LAZIOUSDT', 'TIAUSDT', 'GUSDT', 'CELOUSDT', 'FTMUSDT', 'BOMEUSDT']",6
2024-12-28 14:00:00+05:30,BUY,"['SEIUSDT', 'DASHUSDT', 'DOTUSDT']",3
2024-12-28 14:00:00+05:30,SELL,"['STEEMUSDT', 'STORJUSDT']",2
2024-12-28 14:15:00+05:30,BUY,"['MKRUSDT', 'KMDUSDT', 'SSVUSDT']",3
2024-12-28 14:30:00+05:30,BUY,['DFUSDT'],1
2024-12-28 16:45:00+05:30,BUY,"['ICPUSDT', 'ZILUSDT', 'LTCUSDT', 'LUNAUSDT', 'GRTUSDT', 'ATOMUSDT', 'TKOUSDT', 'MANTAUSDT', 'EGLDUSDT', 'KAIAUSDT', 'HFTUSDT', 'BEAMXUSDT', 'LUNCUSDT', 'GNOUSDT', 'MOVRUSDT', 'HMSTRUSDT', 'BOMEUSDT', 'IOTXUSDT', 'TLMUSDT', 'STRKUSDT', 'STGUSDT', 'IMXUSDT', 'TIAUSDT', 'PIXELUSDT', 'AEVOUSDT', 'FIOUSDT', 'CTSIUSDT', 'BSWUSDT', 'AXSUSDT', 'XLMUSDT', 'C98USDT', 'SXPUSDT', 'NKNUSDT', 'PERPUSDT', 'BLURUSDT', 'AERGOUSDT', 'MASKUSDT', 'SKLUSDT', 'POLUSDT', 'LEVERUSDT', 'ADAUSDT', 'NULSUSDT', 'BNXUSDT', 'BAKEUSDT', 'WOOUSDT', 'COMBOUSDT', 'RONINUSDT', 'BANDUSDT', 'GUSDT', 'COSUSDT', 'DYDXUSDT', 'QNTUSDT', 'YGGUSDT', 'OSMOUSDT', 'DODOUSDT']",55
2024-12-28 16:45:00+05:30,SELL,['REQUSDT'],1
2024-12-28 17:00:00+05:30,BUY,"['DOGSUSDT', 'IOUSDT', 'TURBOUSDT']",3
2024-12-28 17:15:00+05:30,BUY,['PHBUSDT'],1
2024-12-28 17:45:00+05:30,SELL,['PUNDIXUSDT'],1
2024-12-28 18:45:00+05:30,BUY,"['DFUSDT', 'IDUSDT', 'HBARUSDT']",3
2024-12-28 19:30:00+05:30,BUY,['THEUSDT'],1
2024-12-28 19:45:00+05:30,BUY,['STRAXUSDT'],1
2024-12-28 19:45:00+05:30,SELL,['LITUSDT'],1
2024-12-28 20:00:00+05:30,SELL,"['TFUELUSDT', 'OGUSDT', 'STMXUSDT', 'SCRTUSDT', 'MOVRUSDT', 'APTUSDT']",6
2024-12-28 20:15:00+05:30,SELL,"['HOTUSDT', 'BAKEUSDT', 'PERPUSDT', 'FIDAUSDT', 'CHESSUSDT', 'AMBUSDT']",6
2024-12-28 20:45:00+05:30,SELL,['LEVERUSDT'],1
2024-12-28 21:00:00+05:30,SELL,['ALPACAUSDT'],1
2024-12-28 21:15:00+05:30,SELL,"['IOTAUSDT', 'SYNUSDT', 'PROMUSDT', 'ARKMUSDT']",4
2024-12-28 22:00:00+05:30,BUY,['TRXUSDT'],1
2024-12-28 22:15:00+05:30,BUY,['FTMUSDT'],1
2024-12-28 23:15:00+05:30,SELL,['IQUSDT'],1
2024-12-28 23:30:00+05:30,SELL,"['ONGUSDT', 'LUNAUSDT', 'FLOKIUSDT', 'WOOUSDT', 'ALPHAUSDT', 'BURGERUSDT', 'HIFIUSDT']",7
2024-12-28 23:45:00+05:30,SELL,['SHIBUSDT'],1
2024-12-29 00:00:00+05:30,SELL,"['ACHUSDT', 'IOSTUSDT', 'NMRUSDT', 'DENTUSDT', 'BNSOLUSDT', 'PEPEUSDT', 'MANTAUSDT', 'SSVUSDT', 'HBARUSDT', 'TURBOUSDT', 'AVAXUSDT', 'PROMUSDT', 'TNSRUSDT', 'ONEUSDT']",14
2024-12-29 00:30:00+05:30,BUY,"['KMDUSDT', 'VELODROMEUSDT']",2
2024-12-29 00:30:00+05:30,SELL,['JTOUSDT'],1
2024-12-29 01:15:00+05:30,SELL,['MOVRUSDT'],1
2024-12-29 02:30:00+05:30,BUY,['OGNUSDT'],1
2024-12-29 02:45:00+05:30,BUY,['ARDRUSDT'],1
2024-12-29 03:00:00+05:30,BUY,"['SANTOSUSDT', 'DIAUSDT']",2
2024-12-29 03:30:00+05:30,SELL,['XVGUSDT'],1
2024-12-29 04:00:00+05:30,SELL,"['ENAUSDT', 'LPTUSDT']",2
2024-12-29 04:45:00+05:30,SELL,"['SEIUSDT', 'JASMYUSDT', 'LDOUSDT', 'DOTUSDT']",4
2024-12-29 05:00:00+05:30,SELL,"['PYTHUSDT', 'EGLDUSDT', 'QNTUSDT']",3
2024-12-29 05:15:00+05:30,SELL,['RSRUSDT'],1
2024-12-29 05:30:00+05:30,SELL,"['DCRUSDT', 'SCRUSDT']",2
2024-12-29 06:15:00+05:30,BUY,['IDEXUSDT'],1
2024-12-29 06:30:00+05:30,SELL,"['QKCUSDT', 'DARUSDT']",2
2024-12-29 06:45:00+05:30,BUY,['REQUSDT'],1
2024-12-29 06:45:00+05:30,SELL,['FIOUSDT'],1
2024-12-29 07:00:00+05:30,BUY,['MOVEUSDT'],1
2024-12-29 07:30:00+05:30,BUY,['MDTUSDT'],1
2024-12-29 07:45:00+05:30,BUY,"['MKRUSDT', 'SHIBUSDT', 'RUNEUSDT']",3
2024-12-29 08:00:00+05:30,BUY,"['RDNTUSDT', 'REZUSDT', 'HFTUSDT', 'BALUSDT', 'ZKUSDT', 'TNSRUSDT', 'TWTUSDT', 'MAGICUSDT', 'ZROUSDT', 'SNXUSDT', 'SPELLUSDT', 'OMNIUSDT', 'XAIUSDT', 'DOGSUSDT', 'LAZIOUSDT', 'C98USDT', 'WANUSDT', 'PERPUSDT', 'FIDAUSDT', 'SAGAUSDT', 'JUVUSDT', 'CHRUSDT', 'BAKEUSDT', 'COMBOUSDT', 'PORTOUSDT', 'IOUSDT', 'UNIUSDT']",27
2024-12-29 09:00:00+05:30,SELL,['PHAUSDT'],1
2024-12-29 10:45:00+05:30,BUY,['CVXUSDT'],1
2024-12-29 10:45:00+05:30,SELL,['THEUSDT'],1
2024-12-29 11:15:00+05:30,BUY,['LISTAUSDT'],1
2024-12-29 11:45:00+05:30,BUY,"['OMNIUSDT', 'FISUSDT', 'HOOKUSDT', 'GNSUSDT']",4
2024-12-29 12:00:00+05:30,BUY,"['CATIUSDT', 'JASMYUSDT', 'FUNUSDT', 'XECUSDT', 'EDUUSDT', 'RVNUSDT', 'COMPUSDT', 'UMAUSDT', 'ASTRUSDT', '1INCHUSDT', 'EIGENUSDT', 'BALUSDT', 'YGGUSDT', 'CAKEUSDT']",14
2024-12-29 12:15:00+05:30,BUY,"['C98USDT', 'AIUSDT', 'HBARUSDT', 'PROMUSDT', 'FXSUSDT']",5
2024-12-29 14:45:00+05:30,BUY,['AAVEUSDT'],1
2024-12-29 15:00:00+05:30,BUY,"['REQUSDT', 'DATAUSDT', 'QTUMUSDT', 'VIDTUSDT', 'RAREUSDT', 'APTUSDT', 'MDTUSDT']",7
2024-12-29 15:15:00+05:30,BUY,"['ZILUSDT', 'SNTUSDT', 'CLVUSDT', 'KAIAUSDT', 'BANDUSDT', 'LRCUSDT', 'MOVRUSDT']",7
